obj,path,mother_clinic,mother_quest,mother,partner_quest,partner_clinic,partner,child_based,child_completed
sefg_,current/quest/G1/schools/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
sh_,current/quest/G1/schools/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
sk_,current/quest/G1/schools/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
G2motherCP_,current/other/cohort profile/partner/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
G2childCP_,current/other/cohort profile/child/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g2MQB_,current/quest/G2/partner/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
g2MQP_,current/quest/G2/partner/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
G2MQE_,current/quest/G2/partner/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
G2CQ6M_,current/quest/G2/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
G2CQ12M_,current/quest/G2/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
G2CQ24M_,current/quest/G2/proxy/,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
